
Cookies,Chocolate Chip Cookies, 2 1/4,cups, flour, "Mix the flour + baking soda + salt in a bowl. In a separate bowl cream the butter + sugar + brown sugar until smooth. Beat in the eggs and vanilla. Gradually blend in the dry ingredients. Stir in the chocolate chips. Drop by rounded spoonfuls onto ungreased baking sheets."
,,1,tsp,baking soda
,,1,tsp,salt
,,1,cup,unsalted butter
,,3/4,cup,sugar
,,3/4,cup,brown sugar
,,1 1/2,tsp,vanilla extract
,,2,cups,chocolate chips
Pasta,Vegetable Lasagna,9,noodles,lasagna, "Preheat oven to 375 degrees. Boil the lasagna noodles. In a large skillet, cook the spinach + zucchini + onion + bell pepper until the vegetables are tender. In a bowl, mix the ricotta + half of the mozzarella + Parmesan + egg + herbs. Layer the noodles + vegetable mixture + ricotta mixture + marinara sauce in a baking dish. Repeat layers and top with remaining mozzarella. Cover and bake for 25 minutes. Uncover and bake for an additional 25 minutes.."
,,2,cups,spinach
,,2,cups,zucchini
,,1,cup,onion
,,1,cup,red bell pepper
,,15,ounces,ricotta cheese
,,2,cups,mozzarella cheese
,,1/2,cup,Parmesan cheese
,,2,tsp,Italian herbs
,,2 1/2,cups,marinara sauce
Pies,Chicken Pot Pie,1 1/2,cups,chicken, "Preheat oven to 425 degrees. Combine chicken + carrots + peas + celery in a saucepan. Add water and boil for 15 minutes. Remove from heat; drain and set aside. Cook onions in the butter over medium heat until soft. Stir in flour + salt + pepper + celery seed. Slowly stir in chicken broth and milk. Simmer over medium-low heat until thick. Remove from heat and set aside. Place the chicken mixture in the bottom pie crust. Pour the hot liquid mixture over. Cover with top crust; seal edges and cut away excess dough. Make several small slits in the top to allow steam to escape. Bake for 30 to 35 minutes or until pastry is golden brown and filling is bubbly. Cool for 10 minutes before serving."
,,1,cup,carrots diced
,,1,cup,frozen green peas
,,1/2,cup,celery diced
,,1/3,cup,butter
,,1/3,cup,onion (chopped)
,,1/3,cup,all-purpose flour
,,1/2,tsp,salt
,,1/4,tsp,black pepper
,,1/4,tsp,celery seed
,,1 3/4,cups,chicken broth
,,2/3,cup,milk
,,2,9 inch,pie crusts (unbaked)
Soup,Tomato Basil Soup,4,cups,tomato juice, "Combine chicken broth + tomato juice + diced tomatoes + butter + onion in a large pot. Bring to a simmer over medium heat. Cook for 30 minutes. Puree the mixture in a blender or food processor. Return to the pot. Add basil and cream. Heat through but do not boil. Season with salt and pepper to taste."
,,1,(28 ounce) can,diced tomatoes
,,1/2,cup,unsalted butter
,,1,piece,onion chopped
,,1,cup,chicken broth
,,1,cup,basil leaves chopped
,,1,cup,heavy cream
,,to taste,amount,salt and pepper
Cakes,Fresh Apple Cake,4,cups,diced apples,Mix apples and sugar well.  Add oil + nuts + eggs.  Add vanilla and dry ingredients.  Bake at 350 degrees for 40-45 minutes.  Serve with whipped cream or top with cream cheese frosting.
,,2,cups,sugar
,,1,cup,chopped nuts
,,2,total,eggs
,,2,tsp,vanilla
,,2,cups,flour
,,2,tsp,baking powder
,,2,tsp,cinnamon
,,2,cups,vegetable oil
,,1,tsp,baking soda
,,1,tsp,salt
,,NA,NA,powdered sugar
Brownies,Brownies,1/2,cup,unsalted butter,Melt butter. Remove from heat and stir in sugar + eggs + and vanilla. Beat in cocoa + flour + salt + and baking powder. Spread batter into greased and floured 8-inch square pan. Bake at 350 degrees F (175 degrees C) for 25-30 minutes.
,,1,cup,white sugar
,,2,total,eggs
,,1,tsp,vanilla extract
,,1/3,cup,unsweetened cocoa powder
,,1/2,cup,all-purpose flour
,,1/4,tsp,salt
,,1/4,tsp,baking powder
Grilled Cheese Sandwich,Grilled Cheese Sandwich,2,slices,bread,Butter one side of each bread slice. Place one slice  butter side down, in skillet over medium heat. Add cheese slice. Top with remaining bread slice, butter side up. Cook until golden brown on both sides and cheese is melted.
,,2,slices,cheddar cheese
,,2,tsp,butter
Fruit Salad,Fruit Salad,1,apple,diced,Combine all fruits in bowl. Pour orange juice over fruits and toss gently to coat. Serve chilled.
,,1,banana,sliced
,,1,cup,halved grapes
,,1/2,cup,sliced strawberries
,,1/4,cup,orange juice
Pancakes,Pancakes,1,cup,all-purpose flour,In bowl, mix flour, sugar, baking powder, baking soda, and salt. Stir in buttermilk, milk, egg, and melted butter just until moistened. Heat lightly oiled griddle over medium-high heat. Pour or scoop batter onto griddle. Cook until bubbles form on surface. Flip and cook until browned. Serve hot.
,,2,tbsp,sugar
,,1,tsp,baking powder
,,1/2,tsp,baking soda
,,1/2,tsp,salt
,,3/4,cup,buttermilk
,,1/4,cup,milk
,,1,total,egg
,,2,tbsp,melted butter
